,Full name,Symbol letter,Electron configuration,Atomic number,Atomic mass,van der Waals radius,Atomic radius,Covalent radius,Melting point,Boiling point,First electron affinity,First ionization energy,Electronegativity Pauling,Electronegativity Allred,Electronegativity Absolute,Chemical formula_Elemental atomic volume,Chemical formula_Elemental bulk modulus,Chemical formula_Elemental crystal structure (space group),Chemical formula_Elemental density,Chemical formula_Elemental electron density,Chemical formula_Elemental magnetic moment,Chemical formula_Elemental melting temperature,Chemical formula_Elemental polarizability,Chemical formula_Elemental work function,Chemical formula_Mendeleev number,Chemical formula_Number of d valence electrons,Chemical formula_Number of f valence electrons,Chemical formula_Number of p valence electrons,Chemical formula_Number of s valence electrons,Chemical formula_Number of unfilled f valence electrons,Chemical formula_Number of unfilled p valence electrons,Chemical formula_Number of unfilled s valence electrons,Chemical formula_Pauling electronegativity,Chemical formula_Radius of d orbitals,Chemical formula_Radius of p orbitals,Chemical formula_Radius of s orbitals,Chemical formula_Row in periodic table,Chemical formula_Total number of unfilled valence electrons,Chemical formula_Total number of valence electrons,Density
30,Gallium,Ga,3d104s24p1,31,69.723,,122,122,302.93,2676,28.9,578.8,1.81,1.82,3.2,19.6,90.79420289855072,64.0,5904.0,1.31,0.0,302.91,8.12,4.1,74.0,10.0,0.0,1.0,2.0,0.0,5.0,0.0,1.81,0.17,0.935,0.76,4.0,5.0,13.0,6.0823842440825935
31,Germanium,Ge,3d104s24p2,32,72.61,,123,120,1210.6,3103,119,762.1,2.01,2.02,4.6,22.23,90.79420289855072,225.0,5323.0,1.37,0.0,1211.4,5.84,4.55,79.0,10.0,0.0,2.0,2.0,0.0,4.0,0.0,2.01,0.16,0.84,0.72,4.0,4.0,14.0,5.941958651700404
32,Arsenic,As,3d104s24p3,33,74.92159,200,125,119,1090,889,78,947,2.18,2.2,5.3,21.52,22.0,166.0,5727.0,1.44,0.0,1090.0,4.31,4.8,84.0,10.0,0.0,3.0,2.0,0.0,3.0,0.0,2.18,0.155,0.745,0.67,4.0,3.0,15.0,5.391394908319931
33,Selenium,Se,3d104s24p4,34,78.96,200,215,120,490,958.1,195,940.9,2.55,2.48,5.89,29.81,8.3,14.0,4819.0,1.366575342465753,0.0,494.0,3.77,4.034246575342466,89.0,10.0,0.0,4.0,2.0,0.0,2.0,0.0,2.55,0.15,0.67,0.615,4.0,2.0,16.0,4.634574219009604
34,Bromine,Br,3d104s24p5,35,79.904,195,,120,265.9,331.93,324.7,1139.9,2.96,2.74,7.59,65.14,1.9,64.0,3120.0,1.366575342465753,0.0,265.8,3.05,4.034246575342466,95.0,10.0,0.0,5.0,2.0,0.0,1.0,0.0,2.96,0.143,0.62,0.58,4.0,1.0,17.0,4.431023982686997
35,Krypton,Kr,3d104s24p6,36,83.8,198,,116,116.6,120.85,0,1350.7,3,2.94,6.8,44.81,90.79420289855072,225.0,3.75,1.366575342465753,0.0,115.79,2.4844,4.034246575342466,101.0,10.0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,0.138,0.6,0.56,4.0,0.0,18.0,4.114492753459554
36,Rubidium,Rb,2s12,37,85.4678,244,247.5,220,312.2,961,46.9,403,0.82,0.89,2.34,93.09,2.5,229.0,1532.0,0.6,0.0,312.46,47.27,2.1,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.82,0.71,2.43,1.67,5.0,1.0,1.0,2.3202467775721782
37,Strontium,Sr,5s2,38,87.62,,215,195,1042,1657,5.03,549.5,0.95,0.99,2,56.08,90.79420289855072,225.0,2630.0,0.84,0.0,1050.0,25.55,2.4,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.95,0.633,1.79,1.42,5.0,0.0,2.0,4.088561835790651
38,Yttrium,Y,2D32,39,88.90585,,181,190,1795,3611,29.6,616,1.22,1.11,3.19,32.97,41.0,194.0,4472.0,1.21,0.0,1799.0,22.7,3.2,12.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.22,0.58,1.62,1.32,5.0,9.0,3.0,5.614515485247038
39,Zirconium,Zr,4d25s2,40,91.224,,160,175,2125,4650,41.1,660,1.33,1.22,3.64,23.29,90.79420289855072,194.0,6511.0,1.41,0.0,2128.0,17.9,3.45,44.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.33,0.54,1.56,1.265,5.0,8.0,4.0,6.255318047053132
40,Niobium,Nb,4d45s1,41,92.90638,,143,164,2741,5015,86.2,664,1.6,1.23,4,18.15,170.0,229.0,8570.0,1.64,0.0,2750.0,15.7,4.05,47.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6,0.51,1.53,1.23,5.0,7.0,5.0,8.616927201700118
41,Molybdenum,Mo,4d55s1,42,95.94,,136,154,2890,4885,72,685,2.16,1.3,3.9,15.59,230.0,229.0,10280.0,1.77,0.0,2896.0,12.8,4.65,50.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,2.16,0.49,1.5,1.22,5.0,6.0,6.0,10.35824374313986
42,Technetium,Tc,4d55s2,43,98.9063,,136,147,2445,5150,0,702,1.9,1.36,3.91,14.22,90.79420289855072,194.0,11500.0,1.81,0.0,2430.0,11.4,5.3,53.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.9,0.455,1.49,1.16,5.0,5.0,7.0,10.791302614384064
43,Ruthenium,Ru,4d75s1,44,101.07,,134,146,2583,4173,101,711,2.2,1.42,4.5,14.03,220.0,194.0,12370.0,1.83,0.0,2607.0,9.6,5.4,56.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,2.2,0.45,1.46,1.145,5.0,4.0,8.0,11.852668290512723
44,Rhodium,Rh,4d85s1,45,102.9055,,134,142,2239,4000,109.7,720,2.28,1.45,4.3,11.58,380.0,225.0,12450.0,1.76,0.0,2237.0,8.6,5.4,59.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,2.28,0.42,1.41,1.11,5.0,3.0,9.0,11.88397823464662
45,Palladium,Pd,4d10,46,106.42,,138,139,1825,3413,53.7,805,2.2,1.35,4.45,14.72,180.0,225.0,12023.0,1.67,0.0,1828.05,4.8,5.45,62.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.4,1.37,1.08,5.0,0.0,10.0,11.437844577063297
46,Silver,Ag,5s1,47,107.8682,,144,145,1235.08,2485,125.7,731,1.93,1.42,4.44,17.05,100.0,225.0,10490.0,1.36,0.0,1234.93,6.99,4.35,65.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,1.93,0.385,1.33,1.045,5.0,1.0,11.0,9.718690439434976
47,Cadmium,Cd,4d105s2,48,112.411,,149,144,594.1,1038,0,867.6,1.69,1.46,4.33,21.59,42.0,194.0,8650.0,1.24,0.0,594.22,7.32,4.05,70.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,1.69,0.37,1.23,0.985,5.0,0.0,12.0,7.845892288841521
48,Indium,In,4d105s25p1,49,114.818,,163,142,429.32,2353,28.9,558.3,1.78,1.49,3.1,26.14,90.79420289855072,139.0,7310.0,1.17,0.0,429.75,9.65,3.9,75.0,10.0,0.0,1.0,2.0,0.0,5.0,0.0,1.78,0.36,1.11,0.94,5.0,5.0,13.0,7.418352880925781
